Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Support Item Number,Support Item Name,Support Item Description,Unit,Price Controlled,Quote Required,"NT 
SA 
TAS 
WA
(MM 1-5)","ACT
NSW
QLD
VIC
(MM 1-5)","National
Non-Remote
(MM 1-5)","National Remote

(MM 6)","National Very Remote
(MM 7)",Travel,Cancellations,NDIA Reporting,Non-F2F
101,Accommodation / Tenancy Assistance,1,Assistance with daily life (includes Supported Independent Living),01_001_0101_1_1,Transitional Support,Transition to NDIS funding – payment of rent and utility accounts. Short term payment as per participant plan.,EA,N,Y,,,,,,N,N,N,N
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_002_0107_1_1,Assistance With Self-Care - Standard - Active Overnight,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep.",H,Y,N,,,$59.40,$83.16,$89.10,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_002_0107_1_1_T,Assistance With Self-Care Activities - Standard - Active Overnight - TTP,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed and the care giver will not have the option to sleep. Support delivered by a TTP provider.",H,Y,N,,,$63.85,$89.39,$95.78,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_003_0107_1_1,Assistance From Live-In Carer,"A person lives in the house of, or travels with the participant and provides assistance with, and/or supervision of, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,N,Y,,,,,,N,N,N,N
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_004_0107_1_1,Assistance With Personal Domestic Activities,Assist participant to undertake and/or develop skills to maintain their home environment where the participant owns their own home and/or has sole or substantial responsibility for its maintenance. Includes assisting participant to do basic house and yard work.,H,Y,N,,,$50.03,$70.04,$75.05,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_010_0107_1_1,Assistance With Self-Care - Night-Time Sleepover,"Assistance with, or supervision of, personal tasks of daily living where overnight support is needed, but the care giver can sleep when not required to provide support.",EA,Y,N,,,$214.03,$299.64,$321.05,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_011_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Daytime,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$52.85,$73.99,$79.28,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_011_0107_1_1_T,Assistance With Self-Care Activities - Standard - Weekday Daytime - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$56.81,$79.53,$85.22,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_012_0107_1_1,Assistance With Self-Care Activities - Standard - Public Holiday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$118.34,$165.68,$177.51,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_012_0107_1_1_T,Assistance With Self-Care Activities - Standard - Public Holiday - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$127.21,$178.09,$190.82,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$72.69,$101.77,$109.04,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_013_0107_1_1_T,Assistance With Self-Care Activities - Standard - Saturday - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$78.14,$109.40,$117.21,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$94.52,$132.33,$141.78,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_014_0107_1_1_T,Assistance With Self-Care Activities - Standard - Sunday - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$101.61,$142.25,$152.42,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Evening,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible.",H,Y,N,,,$58.31,$81.63,$87.47,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_015_0107_1_1_T,Assistance With Self-Care Activities - Standard - Evening - TTP,"Assisting with, and/or supervising, personal tasks of daily life to develop skills of the participant to live as autonomously as possible. Support delivered by a TTP provider.",H,Y,N,,,$62.69,$87.77,$94.04,Y,Y,N,Y
104,High Intensity Daily Personal Activities (Assist Integrate School/Ed),1,Assistance with daily life (includes Supported Independent Living),01_016_0104_1_1,Specialised Home Based Assistance For A Child,Specialist assistance in the home required due to additional requirements of a child’s disability; may be provided to strengthen the sustainability of informal supports.,H,Y,N,,,$50.03,$70.04,$75.05,Y,Y,N,Y
107,Daily Personal Activities (Assist Personal Activities),1,Assistance with daily life (includes Supported Independent Living),01_017_0107_1_1,On-Call Overnight Monitoring - Off Site Or Onsite (Inc. 1 Hr Assist),"Overnight on-call assistance with, or supervision of, personal tasks of daily living.",EA,N,Y,,,,,,N,N,N,N
120,Household Tasks,1,Assistance with daily life (includes Supported Independent Living),01_019_0120_1_1,House And/Or Yard Maintenance,Performing essential house and/or yard activities that the participant is not able to undertake.,H,Y,N,,,$48.28,$67.59,$72.42,Y,Y,N,Y
120,Household Tasks,1,Assistance with daily life (includes Supported Independent Living),01_020_0120_1_1,House Cleaning And Other Household Activities,Performing essential house cleaning activities that the participant is not able to undertake.,H,Y,N,,,$49.16,$68.82,$73.74,Y,Y,N,Y
120,Household Tasks,1,Assistance with daily life (includes Supported Independent Living),01_021_0120_1_1,Linen Service,Provision of clean linen to a participant unable to do their own laundry without assistance.,EA,N,Y,,,,,,N,N,N,N
